"","Bluetooth connectivity","Worth the Money","Bad Performance","Excellent Performance","Good Performance","Ergonomics","Product Durability","Clarity","Bass Quality","Regret Purchase","After-sales Service","Brands","Battery"
"4287",0.0651890482398957,0.0651890482398957,0.0651890482398957,0.0821382007822686,0.0990873533246415,0.0651890482398957,0.0821382007822686,0.0990873533246415,0.0651890482398957,0.0821382007822686,0.0651890482398957,0.0651890482398957,0.0990873533246415
"1664",0.0712250712250712,0.0712250712250712,0.0712250712250712,0.108262108262108,0.0712250712250712,0.0712250712250712,0.0712250712250712,0.0712250712250712,0.0897435897435898,0.0712250712250712,0.0712250712250712,0.0897435897435898,0.0712250712250712
"4686",0.0821382007822686,0.0821382007822686,0.0821382007822686,0.0651890482398957,0.0651890482398957,0.0651890482398957,0.0651890482398957,0.0651890482398957,0.0651890482398957,0.0821382007822686,0.132985658409387,0.0821382007822686,0.0651890482398957
"6276",0.0674763832658569,0.0674763832658569,0.0674763832658569,0.0850202429149798,0.102564102564103,0.0850202429149798,0.0850202429149798,0.0674763832658569,0.0674763832658569,0.0850202429149798,0.0674763832658569,0.0674763832658569,0.0850202429149798
"8360",0.0699300699300699,0.0881118881118881,0.0881118881118881,0.0881118881118881,0.0699300699300699,0.0699300699300699,0.0699300699300699,0.0881118881118881,0.0699300699300699,0.0699300699300699,0.0699300699300699,0.0881118881118881,0.0699300699300699
"11092",0.110304789550073,0.0725689404934688,0.0725689404934688,0.0725689404934688,0.0725689404934688,0.0725689404934688,0.0725689404934688,0.0725689404934688,0.0914368650217707,0.0725689404934688,0.0725689404934688,0.0725689404934688,0.0725689404934688
"7047",0.0699300699300699,0.0881118881118881,0.0699300699300699,0.0699300699300699,0.124475524475524,0.0699300699300699,0.0699300699300699,0.0699300699300699,0.0881118881118881,0.0699300699300699,0.0699300699300699,0.0699300699300699,0.0699300699300699
"4571",0.0686813186813187,0.0865384615384616,0.0686813186813187,0.0865384615384616,0.0865384615384616,0.0686813186813187,0.0865384615384616,0.0686813186813187,0.0865384615384616,0.0865384615384616,0.0686813186813187,0.0686813186813187,0.0686813186813187
"6781",0.0931952662721894,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0931952662721894,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201
"1251",0.0651890482398957,0.0651890482398957,0.0821382007822686,0.0651890482398957,0.0990873533246415,0.0651890482398957,0.0651890482398957,0.0651890482398957,0.0651890482398957,0.0821382007822686,0.116036505867014,0.0651890482398957,0.0990873533246415
"9563",0.0630517023959647,0.0958385876418663,0.0630517023959647,0.0630517023959647,0.0794451450189155,0.0958385876418663,0.0794451450189155,0.0630517023959647,0.0794451450189155,0.0630517023959647,0.0958385876418663,0.0794451450189155,0.0794451450189155
"466",0.142724745134384,0.0704355885078777,0.082483781278962,0.106580166821131,0.0583873957367933,0.0583873957367933,0.0704355885078777,0.082483781278962,0.0583873957367933,0.046339202965709,0.082483781278962,0.0945319740500463,0.046339202965709
"2368",0.0927960927960928,0.061050061050061,0.0769230769230769,0.0927960927960928,0.061050061050061,0.061050061050061,0.0769230769230769,0.0927960927960928,0.0769230769230769,0.0927960927960928,0.061050061050061,0.0769230769230769,0.0769230769230769
"13025",0.0712250712250712,0.0712250712250712,0.0897435897435898,0.0712250712250712,0.0712250712250712,0.0712250712250712,0.0712250712250712,0.0712250712250712,0.0712250712250712,0.0897435897435898,0.108262108262108,0.0712250712250712,0.0712250712250712
"13956",0.0682556879739978,0.0682556879739978,0.0682556879739978,0.0823401950162514,0.0541711809317443,0.110509209100758,0.0964247020585049,0.0823401950162514,0.0682556879739978,0.0682556879739978,0.0541711809317443,0.110509209100758,0.0682556879739978
